Detector Type,Descroptor Type,Image0,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Image8,Image9,
SHITOMASI,BRISK,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
SHITOMASI,BRIEF,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
SHITOMASI,ORB,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
SHITOMASI,FREAK,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
SHITOMASI,AKAZE,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
SHITOMASI,SIFT,122/1370,117/1301,122/1361,117/1358,115/1333,112/1284,112/1322,120/1366,111/1389,108/1339,
HARRIS,BRISK,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
HARRIS,BRIEF,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
HARRIS,ORB,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
HARRIS,FREAK,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
HARRIS,AKAZE,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
HARRIS,SIFT,17/115,14/98,18/113,20/121,25/160,39/383,17/85,28/210,25/171,31/281,
FAST,BRISK,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
FAST,BRIEF,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
FAST,ORB,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
FAST,FREAK,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
FAST,AKAZE,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
FAST,SIFT,141/1824,143/1832,140/1810,149/1817,139/1793,139/1796,153/1788,142/1695,131/1749,135/1770,
BRISK,BRISK,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
BRISK,BRIEF,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
BRISK,ORB,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
BRISK,FREAK,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
BRISK,AKAZE,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
BRISK,SIFT,254/2757,274/2777,276/2741,275/2735,293/2757,275/2695,289/2715,268/2628,258/2639,249/2672,
ORB,BRISK,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
ORB,BRIEF,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
ORB,ORB,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
ORB,FREAK,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
ORB,AKAZE,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
ORB,SIFT,87/500,101/500,105/500,110/500,106/500,121/500,128/500,120/500,117/500,117/500,
AKAZE,BRISK,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
AKAZE,BRIEF,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
AKAZE,ORB,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
AKAZE,FREAK,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
AKAZE,AKAZE,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
AKAZE,SIFT,162/1351,157/1327,159/1311,154/1351,162/1360,163/1347,173/1363,175/1331,175/1357,175/1331,
SIFT,BRISK,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
SIFT,BRIEF,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
SIFT,ORB,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
SIFT,FREAK,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
SIFT,AKAZE,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
SIFT,SIFT,137/1438,131/1371,121/1380,135/1335,134/1305,139/1370,136/1396,147/1382,156/1463,135/1422,
