Detector Type,Descroptor Type,Image0_detect(ms),Image0_desc(ms),Image1_detect(ms),Image1_desc(ms),Image2_detect(ms),Image2_desc(ms),Image3_detect(ms),Image3_desc(ms),Image4_detect(ms),Image4_desc(ms),Image5_detect(ms),Image5_desc(ms),Image6_detect(ms),Image6_desc(ms),Image7_detect(ms),Image7_desc(ms),Image8_detect(ms),Image8_desc(ms),Image9_detect(ms),Image9_desc(ms),
SHITOMASI,BRISK,19.092,1.57267,17.3964,2.29396,17.2045,2.39722,16.5025,2.26804,16.0364,2.31117,17.6189,2.23609,15.7495,1.38551,12.9743,2.47152,16.9806,2.25794,16.3528,2.28267,
SHITOMASI,BRIEF,17.7442,2.2225,16.5155,1.39366,15.3482,1.37034,17.3271,1.36827,15.1702,0.6234,12.6851,1.3647,15.8112,1.32288,15.1014,1.32037,17.1385,1.20617,15.2478,1.19269,
SHITOMASI,ORB,15.296,1.51827,15.454,0.946398,16.1745,1.13065,17.04,0.912413,18.0474,0.931911,13.3425,0.923883,15.7601,0.974564,14.6525,1.09366,15.8327,0.90228,19.1547,0.935552,
SHITOMASI,FREAK,17.1153,45.2606,15.0646,38.7645,11.0922,38.739,12.0165,38.6387,11.4482,38.708,13.2509,40.8119,13.3076,39.0726,11.6293,38.8888,11.7581,38.3743,10.9952,38.747,
SHITOMASI,AKAZE,11.4522,N/A,11.742,N/A,10.9983,N/A,11.1403,N/A,11.5615,N/A,11.0662,N/A,11.6049,N/A,11.1854,N/A,11.5202,N/A,11.9234,N/A,
SHITOMASI,SIFT,11.2671,19.7052,10.9875,14.0915,11.1757,14.8274,11.0386,14.9315,11.6813,14.3588,11.4618,15.371,13.4469,15.5251,11.2029,15.8152,11.2135,17.8292,12.4201,16.6671,
HARRIS,BRISK,19.1035,0.496278,12.1003,0.454662,12.5681,0.508724,12.7611,0.516471,13.6179,0.575544,27.0721,0.711769,12.1823,0.485303,14.7291,0.597597,13.5997,0.621628,19.4841,0.681375,
HARRIS,BRIEF,13.0955,0.271901,12.0394,0.269941,12.1998,0.281509,12.1064,0.267933,16.0374,0.289043,28.8291,0.336627,12.0587,0.259186,13.9417,0.287399,12.8112,0.334922,18.0319,0.320717,
HARRIS,ORB,11.6998,0.796096,11.992,0.816592,12.3624,0.880635,14.0213,0.827879,13.8748,1.28179,28.4693,0.802452,12.0382,1.07936,14.4392,0.784585,13.7408,0.789284,19.3192,0.92305,
HARRIS,FREAK,12.0695,38.138,11.9521,42.1253,12.1712,39.6778,12.9104,39.5012,12.9112,39.4354,26.8038,39.192,11.9298,41.932,16.3075,42.0417,13.2216,39.2371,18.301,42.1002,
HARRIS,AKAZE,12.1833,N/A,15.0399,N/A,12.0703,N/A,12.065,N/A,16.7478,N/A,28.8271,N/A,15.6636,N/A,14.7796,N/A,13.0373,N/A,22.8927,N/A,
HARRIS,SIFT,14.3806,14.3129,14.4697,14.7509,12.2048,14.4021,11.9399,15.5374,13.6973,15.2041,30.7051,18.7004,13.1438,14.1827,15.9862,13.8084,13.4008,14.069,17.9567,15.6778,
FAST,BRISK,0.983016,2.5568,0.982865,1.80488,0.96133,1.75117,0.932654,2.28427,0.998358,1.7019,0.923588,1.65055,0.929632,1.77251,0.957258,1.73105,0.94342,1.58371,0.985169,1.60395,
FAST,BRIEF,1.0159,0.970731,0.95542,0.696207,0.943639,0.867858,0.987417,0.719902,0.947128,0.766876,0.942722,0.909518,1.00248,0.804926,0.926264,0.677494,0.994079,1.11798,0.939355,0.826052,
FAST,ORB,0.998246,1.025,1.00329,1.01833,1.00335,1.06093,0.971503,1.06355,0.956618,1.10604,0.936242,0.949982,0.956118,1.0596,0.910875,0.993213,1.03184,1.05786,0.928732,0.980364,
FAST,FREAK,0.927015,43.3065,0.947587,39.6946,0.986013,40.5377,0.933176,40.5699,1.42284,41.6088,0.97587,44.3883,1.01338,43.6278,0.944822,39.7796,0.943145,40.114,0.93383,40.0954,
FAST,AKAZE,1.08714,N/A,0.969075,N/A,0.968051,N/A,1.04693,N/A,1.00347,N/A,0.965427,N/A,1.01088,N/A,0.967912,N/A,0.95504,N/A,0.968329,N/A,
FAST,SIFT,0.953522,23.2105,0.943069,19.8835,0.982879,21.7093,0.992365,26.657,0.95746,23.5557,0.955807,22.5226,0.94655,20.9238,1.04473,20.2616,0.97106,18.0434,0.960573,18.3353,
BRISK,BRISK,41.5171,3.04339,40.4543,3.3543,39.8745,3.08005,39.4348,3.18409,40.5991,3.33851,41.0676,3.125,40.3538,3.383,40.7172,3.05653,40.2441,2.94387,39.7149,2.82263,
BRISK,BRIEF,39.7641,1.03259,39.9256,1.06167,39.7551,1.63621,39.352,1.06241,39.6158,1.15912,39.3992,1.08917,39.5887,1.11189,38.8918,1.03922,39.2048,1.01216,40.8511,1.04641,
BRISK,ORB,40.615,4.54298,41.4077,4.76726,40.3055,4.64242,42.5447,4.80143,39.9501,4.66811,41.9643,4.54075,40.1928,4.56029,39.3217,4.52656,39.708,4.54534,39.9071,4.63616,
BRISK,FREAK,41.1784,46.9146,40.3725,43.8262,39.8774,41.1008,39.2151,43.319,41.5489,42.0837,40.8285,44.4126,39.8903,44.7287,40.0479,41.5232,39.4154,44.1897,40.7783,41.2549,
BRISK,AKAZE,41.853,N/A,41.3829,N/A,39.9062,N/A,41.6857,N/A,39.8494,N/A,40.9444,N/A,39.9549,N/A,40.3727,N/A,41.5355,N/A,41.9976,N/A,
BRISK,SIFT,41.2477,43.1709,40.9024,42.5015,40.0289,42.8966,40.4876,44.501,41.2078,45.0642,40.6289,43.7226,40.9529,43.9861,41.1855,42.7879,39.8706,42.8218,40.164,41.4844,
ORB,BRISK,8.23539,1.21908,7.48545,1.33454,8.13247,1.40165,8.23687,1.48785,7.51387,1.42908,7.58303,1.62401,7.67165,1.50299,7.96876,1.50981,7.90832,1.45898,8.39772,1.4428,
ORB,BRIEF,8.03552,0.51358,10.3006,1.04295,7.45929,0.578534,7.85957,0.58044,7.53991,0.552175,8.90266,0.654701,7.37753,0.657205,7.31298,0.622295,7.52295,1.07004,7.71374,0.56768,
ORB,ORB,8.93205,4.77193,7.62793,4.60128,8.07761,4.78789,7.67305,4.74526,7.64153,5.29772,7.37113,4.53735,7.20915,4.6757,7.74552,4.7333,8.14816,4.53278,9.46381,4.75784,
ORB,FREAK,7.5823,42.9395,7.85644,39.7845,7.45322,39.8284,7.34778,38.8723,7.34135,39.4792,7.34026,40.4416,7.36992,42.1979,7.40864,38.928,7.52662,39.9168,7.69802,42.1996,
ORB,AKAZE,7.66314,N/A,7.66853,N/A,7.37528,N/A,7.8041,N/A,7.8622,N/A,7.88124,N/A,7.63612,N/A,7.52713,N/A,7.54333,N/A,7.62749,N/A,
ORB,SIFT,7.98444,41.3153,7.94264,43.4162,10.1338,45.4965,7.77392,48.1426,7.33934,44.6886,8.09084,44.8697,7.45124,49.3852,7.4908,47.0848,7.49599,50.2802,7.9463,46.8987,
AKAZE,BRISK,80.8445,1.94017,71.6929,1.83381,74.7636,1.97632,82.8973,2.07026,74.2683,2.35848,72.6748,1.9501,76.0112,2.03066,80.541,2.10872,75.527,2.06623,68.9918,1.97168,
AKAZE,BRIEF,81.4169,0.856198,77.0757,0.855002,75.9621,0.91708,76.2053,0.858312,69.7487,0.844128,75.8486,0.921261,68.5053,0.975325,68.2038,1.00311,79.9473,1.02183,73.3987,0.943589,
AKAZE,ORB,82.7086,3.03747,77.8748,2.99045,79.4393,2.98758,83.0421,2.9157,76.7389,3.06068,82.6086,2.95484,73.1347,2.99986,67.2855,3.27638,70.0465,2.97794,71.4422,3.172,
AKAZE,FREAK,78.2905,42.0685,74.4715,42.7892,68.1413,44.1237,75.5514,42.1764,76.713,41.4318,72.5162,42.0752,65.321,42.0886,67.9922,39.6166,68.7465,40.6538,68.6753,39.7004,
AKAZE,AKAZE,84.2216,58.9121,70.0625,73.8654,85.8077,65.3556,84.3111,67.9041,69.2965,67.4152,73.1233,55.4365,77.1524,63.5908,73.2311,64.3465,77.3323,71.7194,81.2857,68.6052,
AKAZE,SIFT,82.0023,25.1593,71.3856,23.8924,66.438,23.5298,70.9687,23.6637,71.1033,24.0584,67.9595,24.2831,81.6452,24.6455,77.0341,24.5353,73.2682,25.4951,81.2633,23.595,
SIFT,BRISK,131.189,1.76501,129.791,1.56028,129.46,1.48752,127.82,1.66585,128.667,1.59546,128.497,1.64223,134.135,1.63451,132.513,1.68632,127.45,1.81729,129.222,1.58899,
SIFT,BRIEF,129.334,0.740227,132.639,0.763221,131.498,0.751533,130.776,0.840801,132.869,0.791561,135.562,0.825948,130.141,0.8725,133.762,0.866775,134.004,0.83866,128.319,0.784701,
SIFT,ORB,131.077,N/A,137.656,N/A,131.462,N/A,133.045,N/A,133.4,N/A,132.38,N/A,134.814,N/A,131.867,N/A,132.935,N/A,126.656,N/A,
SIFT,FREAK,126.986,39.3532,124.941,39.2658,126.841,39.931,126.448,41.2826,129.679,40.5646,129.938,40.4612,130.593,40.5063,133.895,39.9034,131.78,41.7726,131.966,40.34,
SIFT,AKAZE,131.705,N/A,129.372,N/A,129.631,N/A,126.588,N/A,128.658,N/A,128.005,N/A,132.871,N/A,128.632,N/A,132.999,N/A,130.167,N/A,
SIFT,SIFT,129.602,75.8349,96.1214,76.4455,129.513,74.4732,100.758,77.5755,132.076,106.766,130.478,116.465,129.674,107.641,126.76,78.4877,100.333,78.3216,96.6589,76.541,
